ATR,n/a,Aerospatiale/Alenia ATR 42/ ATR 72
AX1,RX1H,Avro RJX100
AX8,RX85,Avro RJX85
B11,BA11,British Aerospace (BAC) One Eleven / RomBAC One Eleven
B12,BA11,British Aerospace (BAC) One Eleven 200
B13,BA11,British Aerospace (BAC) One Eleven 300
B14,BA11,British Aerospace (BAC) One Eleven 400/475
B15,BA11,British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven
B72,B720,Boeing 720B pax
BE1,B190,Beechcraft 1900/1900C/1900D
BE2,n/a,Beechcraft twin piston engines
BEC,n/a,Beechcraft light aircraft
BEH,B190,Beechcraft 1900D
BEP,n/a,Beechcraft light aircraft - single engine
BES,B190,Beechcfrat 1900/1900C
BET,n/a,Beechcraft light aircraft - twin turboprop engine
BH2,n/a,Bell Helicopters
BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander
BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander
BUS,n/a,Bus
CCJ,CL60,Canadair Challenger
CCX,GLEX,Canadair Global Express
CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad
CL4,CL44,Canadair CL-44
CN1,n/a,Cessna light aircraft - single piston engine
CN2,n/a,Cessna light aircraft - twin piston engines
CN7,C750,Cessna 750 Citation X
CNA,n/a,Cessna light aircraft
CNC,n/a,Cessna light aircraft - single turboprop engine
CNJ,n/a,Cessna Citation
CNT,n/a,Cessna light aircraft - twin turboprop engines
CR1,CRJ1,Canadair Regional Jet 100
CR2,CRJ2,Canadair Regional Jet 200
CR7,CRJ7,Canadair Regional Jet 700
CR9,CRJ9,Canadair Regional Jet 900
CRA,CRJ9,Canadair Regional Jet 705
CRF,n/a,Canadair Regional Jet Freighter
CRJ,n/a,Canadair Regional Jet
CRK,CRJX,Canadair Regional Jet 1000
CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle
CS2,C212,CASA / IPTN 212 Aviocar
CS5,CN35,CASA / IPTN CN-235
CV2,CVLP,Convair CV-240 pax
CV4,CVLP,Convair CV-440 Metropolitan pax
CV5,CVLT,Convair CV-580 pax
CVF,n/a,Convair CV-240 / 440 / 580 / 600 / 640 Freighter
CVR,n/a,Convair CV-240 / 440 / 580 / 600 / 640 pax
CVV,CVLP,Convair CV-240 Freighter
CVX,CVLP,Convair CV-440 Freighter
CVY,CVLT,Convair CV-580 / 600 / 640 Freighter
CWC,C46,Curtiss C-46 Commando
D10,DC10,Douglas DC-10 pax
D11,DC10,Douglas DC-10-10/15 pax
D1C,DC10,Douglas DC-10-30/40 pax
D1F,DC10,Douglas DC-10 all Freighters
D1M,DC10,Douglas DC-10 all Combi models
D1X,DC10,Douglas DC-10-10 Freighter
D1Y,DC10,Douglas DC-10-30 / 40 Freighters
D28,D228,Fairchild Dornier Do.228
D38,D328,Fairchild Dornier Do.328
D3F,DC3,Douglas DC-3 Freighter
D6F,DC6,Douglas DC-6A/B/C Freighter
D8F,n/a,Douglas DC-8 all Freighters
D8L,DC86,Douglas DC-8-62 pax
D8M,n/a,Douglas DC-8 all Combi models
D8Q,DC87,Douglas DC-8-72 pax
D8T,DC85,Douglas DC-8-50 Freighter
D8X,n/a,Douglas DC-8-61 / 62 / 63 Freighters
D8Y,DC87,Douglas DC-8-71 / 72 / 73 Freighters
D91,DC91,Douglas DC-9-10 pax
D92,DC92,Douglas DC-9-20 pax
D93,DC93,Douglas DC-9-30 pax
D94,DC94,Douglas DC-9-40 pax
D95,DC95,Douglas DC-9-50 pax
D9C,DC93,Douglas DC-9-30 Freighter
D9D,DC94,Douglas DC-9-40 Freighter
D9F,n/a,Douglas DC-9 all Freighters
D9X,DC91,Douglas DC-9-10 Freighter
DC3,DC3,Douglas DC-3 pax
DC4,DC4,Douglas DC-4 pax
DC6,DC6,Douglas DC6A/B pax
DC8,n/a,Douglas DC-8 all pax models
DC9,DC9,Douglas DC-9 all pax models
DF2,n/a,Dassault (Breguet Mystere) Falcon 10 / 100 / 20 / 200 / 2000
DF3,n/a,Dassault (Breguet Mystere) Falcon 50 / 900
DFL,n/a,Dassault (Breguet Mystere) Falcon
DH1,DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH2,DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH3,DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH4,DH8D,De Havilland Canada DHC-8-400 Dash 8Q
DH7,DHC7,De Havilland Canada DHC-7 Dash 7
DH8,n/a,De Havilland Canada DHC-8 Dash 8 all models
DHB,n/a,De Havilland Canada DHC-2 Beaver / Turbo Beaver
DHC,DHC4,De Havilland Canada DHC-4 Caribou
DHD,DOVE,De Havilland DH.104 Dove
DHH,HERN,De Havilland DH.114 Heron
DHL,DHC3,De Havilland Canada DHC-3 Turbo Otter
DHO,DHC3,De Havilland Canada DHC-3 Otter / Turbo Otter
DHP,DHC2,De Havilland Canada DHC-2 Beaver
DHR,DH2T,De Havilland Canada DHC-2 Turbo-Beaver
DHS,DHC3,De Havilland Canada DHC-3 Otter
DHT,DHC6,De Havilland Canada DHC-6 Twin Otter
E70,E170,Embraer 170
E90,E190,Embraer 190
EC3,EC30,Eurocopter EC.130
E70,E170,Embraer 170
E75,E75L,Embraer 175 (Short wing)
E75,E75S,Embraer 175 (Long Wing)
E90,E190,Embraer 190
E95,E195,Embraer 195
EM2,E120,Embraer EMB.120 Brasilia
EMB,E110,Embraer EMB.110 Bandeirnate
EMJ,n/a,Embraer 170/190
ER3,E135,Embraer RJ135
ER3,E35L,Embraer Legacy 600 / Legacy 650
ER4,E145,Embraer RJ145 Amazon
ERD,n/a,Embraer RJ140
ERJ,n/a,Embraer RJ135 / RJ140 / RJ145
F21,F28,Fokker F.28 Fellowship 1000
F22,F28,Fokker F.28 Fellowship 2000
F23,F28,Fokker F.28 Fellowship 3000
F24,F28,Fokker F.28 Fellowship 4000
F27,F27,Fokker F.27 Friendship / Fairchild F.27
F28,F28,Fokker F.28 Fellowship
F50,F50,Fokker 50
F5F,F50,Fokker 50 Freighter
F70,F70,Fokker 70
FA7,n/a,Fairchild Dornier 728JET
FK7,F27,Fairchild FH.227
FRJ,J328,Fairchild Dornier 328JET
GRG,G21,Grumman G.21 Goose
GRJ,n/a,Gulfstream Aerospace G-1159 Gulfstream II / III / IV / V
GRM,G73T,Grumman G.73 Turbo Mallard
GRS,G159,Gulfstream Aerospace G-159 Gulfstream I
H25,n/a,British Aerospace (Hawker Siddeley) HS.125
HEC,COUC,Helio H-250 Courier / H-295 / 385 Super Courier
HOV,n/a,Hovercraft
HS7,A748,Hawker Siddeley HS.748
I14,I114,Ilyushin IL114
I93,IL96,Ilyushin IL96-300 pax
I9F,IL96,Ilyushin IL96 Freighters
I9M,IL96,Ilyushin IL96M pax
I9X,IL96,Ilyushin IL96-300 Freighter
I9Y,IL96,Ilyushin IL96T Freighter
IL6,IL62,Ilyushin IL62
IL7,IL76,Ilyushin IL76
IL8,IL18,Ilyushin IL18
IL9,IL96,Ilyushin IL96 pax
ILW,IL86,Ilyushin IL86
J31,JS31,British Aerospace Jetstream 31
J32,JS32,British Aerospace Jetstream 32
J41,JS41,British Aerospace Jetstream 41
JST,n/a,British Aerospace Jetstream 31 / 32 / 41
JU5,JU52,Junkers Ju52/3M
L10,L101,Lockheed L-1011 Tristar pax
L11,L101,Lockheed L-1011 1 / 50 / 100 / 150 / 200 / 250 Tristar pax
L15,L101,Lockheed L-1011 500 Tristar pax
L1F,L101,Lockheed L-1011 Tristar Freighter
L49,CONI,Lockheed L-1049 Super Constellation
L4T,L410,LET 410
LCH,n/a,Launch - Boat
LMO,n/a,Limousine
LOE,L188,Lockheed L-188 Electra pax
LOF,L188,Lockheed L-188 Electra Freighter
LOH,C130,Lockheed L-182 / 282 / 382 (L-100) Hercules
LOM,L188,Lockheed L-188 Electra Mixed Configuration
LRJ,n/a,Gates Learjet
M11,MD11,McDonnell Douglas MD11 pax
M1F,MD11,McDonnell Douglas MD11 Freighter
M1M,MD11,McDonnell Douglas MD11 Mixed Configuration
M80,MD80,McDonnell Douglas MD80
M81,MD81,McDonnell Douglas MD81
M82,MD82,McDonnell Douglas MD82
M83,MD83,McDonnell Douglas MD83
M87,MD87,McDonnell Douglas MD87
M88,MD88,McDonnell Douglas MD88
M90,MD90,McDonnell Douglas MD90
MBH,B105,Eurocopter (MBB) Bo.105
MD9,EXPL,MD Helicopters MD900 Explorer
MIH,MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172
MU2,MU2,Mitsubishi Mu-2
ND2,N262,Aerospatiale (Nord) 262
NDC,S601,Aerospatiale SN.601 Corvette
NDE,n/a,Eurocopter (Aerospatiale) AS350 Ecureuil / AS355 Ecureuil 2
NDH,S65C,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2
PA1,n/a,Piper light aircraft - single piston engine
PA2,n/a,Piper light aircraft - twin piston engines
PAG,n/a,Piper light aircraft
PAT,n/a,Piper light aircraft - twin turboprop engines
PL2,PC12,Pilatus PC-12
PL6,PC6T,Pilatus PC-6 Turbo Porter
PN6,P68,Partenavia P.68
S20,SB20,Saab 2000
S58,S58T,Sikorsky S-58T
S61,S61,Sikorsky S-61
S76,S76,Sikorsky S-76
SF3,SF34,Saab SF340
SFB,SF34,Saab SF340B
SFF,SF34,Saab SF340 Freighter
SH3,SH33,Shorts SD.330
SH6,SH36,Shorts SD.360
SHB,BELF,Shorts SC-5 Belfast
SHS,SC7,Shorts SC-7 Skyvan
SSC,CONC,Aerospatiale/BAC Concorde
SU1,,Sukhoi Superjet 100
SU7,,Sukhoi Superjet 100-75
SU9,SU95,Sukhoi Superjet 100-95
SWM,n/a,Fairchild (Swearingen) SA26 / SA226 / SA227 Metro / Merlin / Expediter
T20,T204,Tupolev Tu-204 / Tu-214
T2F,T204,Tupolev Tu-204 Freighter
TRN,n/a,Train
TU3,T134,Tupolev Tu134
TU5,T154,Tupolev Tu154
YK2,YK42,Yakovlev Yak 42
YK4,YK40,Yakovlev Yak 40
YN2,Y12,Harbin Yunshuji Y12
YN7,AN24,Xian Yunshuji Y7
YS1,YS11,NAMC YS-11
